Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District,Latitude,Longitude,Point
B,Completely Locked,06/22/2020 03:01:03 PM,B385,B385,Yes,,,,,Transmitter,,,03/31/2020,06/21/2020,301,B-01,40.729862213134766,-73.96075439453125,POINT (-73.96075439453125 40.729862213134766)
M,Completely Locked,06/23/2020 09:14:23 AM,M283,M283-01,,,,,,Nelson Rockefeller Park Playground North,,,03/31/2020,06/22/2020,101,M-01,40.71808624267578,-74.01555633544922,POINT (-74.01555633544922 40.71808624267578)
X,Completely Locked,06/22/2020 10:26:30 AM,X291,X291,Yes,,,,E. 181 St. bet. Walton Ave. and Jerome A,Walton Playground,,,03/31/2020,06/21/2020,205,X-05,40.855308532714844,-73.90518188476562,POINT (-73.90518188476562 40.855308532714844)
X,Completely Locked,06/22/2020 10:39:31 AM,X019,X019-01,,,,,,Ewen Playground,,,03/31/2020,06/21/2020,208,X-08,40.88312911987305,-73.90985870361328,POINT (-73.90985870361328 40.88312911987305)
B,Completely Locked,06/22/2020 01:55:05 PM,B169,B169,Yes,,,,,Beach at B 6 St,,,03/31/2020,06/22/2020,313,B-13,40.57489776611328,-73.96096801757812,POINT (-73.96096801757812 40.57489776611328)
Q,Partially Locked,06/22/2020 01:07:06 PM,Q336,Q336,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Union Turnpike, Vleigh Pl., 141 St.",Judge Moses Weinstein Playground,Adults Allowed,Q336-CPA-0001,03/31/2020,06/21/2020,408,Q-08,40.71866989135742,-73.82066345214844,POINT (-73.82066345214844 40.71866989135742)
X,Partially Locked,06/22/2020 11:10:04 AM,X122,X122,,Active,No,Not Applicable,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.,Colucci Playground,Adults Allowed,X122-CPA-0001,03/31/2020,06/21/2020,210,X-10,40.85223388671875,-73.83507537841797,POINT (-73.83507537841797 40.85223388671875)
B,Completely Locked,06/22/2020 04:15:01 PM,B100,B100,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 12 St. bet. Bay Pkwy. and Ave. P,Seth Low Playground/ Bealin Square,Adults not allowed in some locations,B100-CPA-0001,03/31/2020,06/20/2020,311,B-11,40.608543395996094,-73.98602294921875,POINT (-73.98602294921875 40.608543395996094)
X,Not Lockable,06/22/2020 10:52:00 AM,X002,X002-05A,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Waring Ave, Bronx Pk E",Waring Plgd,Adults Allowed,X002-CPA-0003,03/31/2020,06/21/2020,227,X-14,40.860652923583984,-73.87152862548828,POINT (-73.87152862548828 40.860652923583984)
Q,Completely Locked,06/21/2020 04:56:36 PM,Q313,Q313,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Arverne Blvd. bet. Beach 56 St. and Beach 54 St.,Arverne Playground,Adults Allowed,Q313-CPA-0001,03/31/2020,06/21/2020,414,Q-14,40.59288787841797,-73.785400390625,POINT (-73.785400390625 40.59288787841797)
X,Completely Locked,06/22/2020 09:40:13 AM,X348,X348-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,North Side Of E 157th St & River Ave,River Avenue Parks,Adults not allowed in some locations,X348-CPA-0001,03/31/2020,06/21/2020,204,X-04,40.82579040527344,-73.9267578125,POINT (-73.9267578125 40.82579040527344)
M,Completely Locked,06/22/2020 03:29:53 PM,M071,M071-08,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,W 83 St & Riverside Dr,River Run Plgd,Unknown,M071-CPA-0005,03/31/2020,06/21/2020,107,M-14,40.786949157714844,-73.98223876953125,POINT (-73.98223876953125 40.786949157714844)
B,Completely Locked,06/22/2020 04:20:06 PM,B210I,B210I,,Active,No,Not Applicable,3 Ave. bet. 40 St. and 41 St.,Gonzalo Plasencia Playground,Adults Allowed,B210I-CPA-0001,03/31/2020,06/22/2020,307,B-07,40.652252197265625,-74.00806427001953,POINT (-74.00806427001953 40.652252197265625)
R,Not Lockable,06/22/2020 05:07:27 PM,R031,R031-08,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Between Park Building And Pond,Wolfe's Pond Park,Adults not allowed in some locations,R031-CPA-0001,03/31/2020,06/22/2020,503,R-03,40.516075134277344,-74.19099426269531,POINT (-74.19099426269531 40.516075134277344)
B,Completely Locked,06/22/2020 01:55:05 PM,B106B,B106B,,,,,"Stillwell Ave., Benson Ave., Bay 43 St.",Lafayette Playground,,,03/31/2020,06/22/2020,313,B-13,40.59450912475586,-73.98529052734375,POINT (-73.98529052734375 40.59450912475586)
M,Partially Locked,06/23/2020 09:14:34 AM,M283,M283-02,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"River Terr, Warren St",Nelson Rockefeller Playground,Unknown,M283-CPA-0001,03/31/2020,06/22/2020,101,M-01,40.71684646606445,-74.01663970947266,POINT (-74.01663970947266 40.71684646606445)
M,Completely Locked,06/22/2020 01:10:27 PM,M047,M047-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 114 St & Pleasant,Thomas Jefferson Park Playground,Adults not allowed in some locations,M047-CPA-0001,03/31/2020,06/21/2020,111,M-11,40.79356384277344,-73.93460845947266,POINT (-73.93460845947266 40.79356384277344)
Q,Partially Locked,06/04/2020 04:16:17 PM,Q066C,Q066C,,,,,Hoyt Ave. bet. 23 St. and  24 St.,Triborough Bridge Playground C,,,03/31/2020,,401,Q-01,40.77397918701172,-73.9222412109375,POINT (-73.9222412109375 40.77397918701172)
X,Completely Locked,06/22/2020 10:17:13 AM,X148E,X148E,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Cross Bronx Exwy Service Rd N bet. Topping Av and Clay Av,Peace Park,Adults Allowed,X148E-CPA-0001,03/31/2020,06/21/2020,205,X-05,40.845191955566406,-73.9050064086914,POINT (-73.9050064086914 40.845191955566406)
M,Completely Locked,06/22/2020 11:44:29 AM,M029,M029-02,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Broadway & Dyckman St,Anne Loftus Plgd,Unknown,M029-CPA-0002,03/31/2020,06/21/2020,112,M-12,40.86499786376953,-73.9291763305664,POINT (-73.9291763305664 40.86499786376953)
Q,Partially Locked,06/23/2020 11:10:39 AM,Q310,Q310,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"74 Ave., 260 St.",Glen Oaks Oval,Adults not allowed in some locations,Q310-CPA-0001,03/31/2020,06/23/2020,413,Q-13,40.74958038330078,-73.71617126464844,POINT (-73.71617126464844 40.74958038330078)
B,Completely Locked,06/23/2020 10:01:04 AM,B323,B323,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Monroe St. to Madison St. between Marcy Ave. and Tompkins Ave.,Hattie Carthan Playground,Adults Allowed,B323-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.68561935424805,-73.94650268554688,POINT (-73.94650268554688 40.68561935424805)
X,Completely Locked,06/22/2020 10:55:10 AM,X123,X123,,Active,No,Not Applicable,Noble Ave. bet. Bronx River Av and  E 177 St,Noble Playground,Adults Allowed,X123-CPA-0001,03/31/2020,06/21/2020,209,X-09,40.83689498901367,-73.8718490600586,POINT (-73.8718490600586 40.83689498901367)
Q,Completely Locked,06/22/2020 12:57:44 PM,Q021B,Q021B,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,McLaughlin Ave. bet. Sutro St. and Francis Lewis Blvd.,McLaughlin Playground,Adults not allowed in some locations,Q021B-CPA-0001,03/31/2020,06/21/2020,408,Q-08,40.72557067871094,-73.76634216308594,POINT (-73.76634216308594 40.72557067871094)
M,Completely Locked,06/22/2020 04:11:41 PM,M249,M249,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 26 St., 8 Ave. To 9 Ave.",Penn South Playground,Adults not allowed in some locations,M249-CPA-0001,03/31/2020,06/21/2020,104,M-04,40.74753952026367,-73.9984130859375,POINT (-73.9984130859375 40.74753952026367)
B,Completely Locked,06/22/2020 01:15:17 PM,B304,B304,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.",Kennedy King Playground,Adults Allowed,B304-CPA-0001,03/31/2020,06/22/2020,317,B-17,40.65837860107422,-73.92201232910156,POINT (-73.92201232910156 40.65837860107422)
X,Completely Locked,06/22/2020 11:05:07 AM,X170,X170,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,St. Peter's Ave. at Tratman Ave.,The Pearly Gates,Adults Allowed,X170-CPA-0001,03/31/2020,06/21/2020,210,X-10,40.83859634399414,-73.8455581665039,POINT (-73.8455581665039 40.83859634399414)
B,Completely Locked,06/22/2020 03:00:27 PM,B001,B001,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Franklin St. bet. Milton St. and Noble St.,American Playground,Adults Allowed,B001-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.72858428955078,-73.95802307128906,POINT (-73.95802307128906 40.72858428955078)
R,Completely Locked,06/22/2020 02:26:45 PM,R064,R064,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Schmidts La., Manor Rd. and Laguardia Ave.",Christopher J. Igneri Playground,Adults Allowed,R064-CPA-0001,03/31/2020,06/22/2020,502,R-02,40.60868453979492,-74.11972045898438,POINT (-74.11972045898438 40.60868453979492)
Q,Completely Locked,06/23/2020 10:55:47 AM,Q099,Q099-15,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Jewel Ave & Van Wyck Exwy,Triassic Playground,Unknown,Q099-CPA-0002,03/31/2020,06/23/2020,481,Q-15,40.72998046875,-73.83509063720703,POINT (-73.83509063720703 40.72998046875)
