bg_geoid,pop_total,nh_white,med_income,med_income_moe,tenure_total,renter,under18
360050001001,6600,817,,,0,0,97
360050002002,1542,56,74050.0,55140.0,491,291,419
360050020011,2830,0,,,980,980,1107
360050020021,815,0,62370.0,47143.0,353,196,62
360050023001,2121,0,26724.0,11050.0,904,904,384
360050024000,0,0,,,0,0,0
360050025002,1185,9,17938.0,9704.0,474,474,444
360050025004,1375,104,51300.0,13134.0,336,321,466
360050027012,1490,10,18171.0,2117.0,554,554,615
360050027023,1302,23,,,472,456,459
360050028002,1905,40,51288.0,6783.0,873,723,334
360050031001,1858,29,42228.0,11185.0,687,583,547
360050033003,1027,0,18295.0,8330.0,443,404,163
360050035003,1755,18,30086.0,19424.0,654,593,687
360050039001,1578,0,17583.0,12590.0,708,708,478
360050039003,1794,116,,,555,536,615
360050040011,1425,89,61450.0,12954.0,489,288,314
360050041003,64,0,,,15,15,0
360050048001,2003,0,,,698,698,598
360050050012,1528,0,20640.0,8510.0,479,459,466
360050050021,2339,5,29071.0,2792.0,792,724,847
360050050024,1217,11,44338.0,16255.0,364,333,267
360050051003,1971,0,15395.0,7317.0,777,777,705
360050053001,2893,20,16233.0,4674.0,1056,1056,1148
360050054001,726,2,45898.0,24408.0,211,177,76
360050054004,1026,0,21350.0,15030.0,379,379,198
360050056003,667,5,56042.0,16850.0,185,135,111
360050060001,1266,11,38871.0,5389.0,370,314,282
360050061002,2835,121,50341.0,7925.0,1496,933,179
360050062001,1062,26,26902.0,13358.0,460,433,450
360050062004,1579,0,54613.0,26197.0,495,464,571
360050063011,591,43,54722.0,45266.0,264,261,124
360050063014,2521,539,45303.0,15805.0,900,745,682
360050063021,0,0,,,0,0,0
360050068003,978,0,56250.0,15567.0,345,248,309
360050069003,1509,0,,,597,597,97
360050070002,633,0,50428.0,26311.0,187,179,157
360050071002,2049,65,41087.0,14760.0,786,604,692
360050072002,2368,128,34107.0,14731.0,578,476,620
360050073001,1751,13,13704.0,9552.0,636,616,661
360050074001,1342,0,98085.0,55930.0,397,230,328
360050075001,1026,0,,,375,226,240
360050075004,922,21,27188.0,17249.0,334,327,208
360050076003,1075,7,48841.0,12511.0,322,248,382
360050077001,2037,61,48177.0,13018.0,575,402,469
360050078002,2908,200,54028.0,28790.0,863,700,1032
360050079001,1523,0,29500.0,17654.0,540,540,347
360050079004,1374,0,63370.0,43466.0,456,405,435
360050083001,1025,28,68634.0,29956.0,407,329,191
360050083004,1396,0,40133.0,4714.0,515,389,348
360050084001,919,0,62823.0,15654.0,267,121,195
360050090000,0,0,,,0,0,0
360050090003,685,8,,,250,250,225
360050092001,1273,12,39271.0,13728.0,434,365,297
360050092003,2051,55,55610.0,10827.0,595,480,554
360050093011,784,50,,,260,232,166
360050093014,973,30,37188.0,19715.0,335,283,234
360050093020,0,0,,,0,0,0
360050096001,2093,143,53796.0,9227.0,554,327,420
360050098002,1364,56,,,247,43,167
360050098005,1234,0,41290.0,10719.0,584,584,212
360050115021,1275,23,20362.0,9551.0,391,343,531
360050115023,1743,0,25469.0,24229.0,513,483,660
360050117020,0,0,,,0,0,0
360050118001,2795,1455,125759.0,41367.0,559,232,210
360050119001,2456,58,43409.0,22002.0,662,662,463
360050119004,754,0,15795.0,8403.0,338,338,165
360050130001,1462,500,78125.0,50223.0,461,180,264
360050131003,1623,65,,,621,575,487
360050132001,873,179,69700.0,27182.0,406,117,149
360050132004,938,252,,,299,182,258
360050133002,1970,47,55408.0,34354.0,714,573,455
360050135001,457,0,,,183,149,106
360050138000,0,0,,,0,0,0
360050138002,1227,270,75223.0,29268.0,539,374,259
360050141003,2487,120,28317.0,16499.0,1072,935,579
360050144002,680,0,24815.0,22883.0,402,402,94
360050144005,1194,61,23054.0,7189.0,429,413,470
360050145002,2178,0,18456.0,14181.0,637,637,1049
360050147011,2845,0,40711.0,11829.0,909,909,644
360050147021,617,17,12708.0,7155.0,293,288,207
360050147024,1665,37,46190.0,42129.0,592,592,488
360050149003,2194,60,28618.0,14260.0,659,645,646
360050151002,1242,0,26526.0,4723.0,584,558,376
360050159001,1434,12,25250.0,21610.0,466,425,323
360050160001,1620,714,68047.0,11734.0,681,413,233
360050160004,532,176,94479.0,24299.0,270,99,10
360050161003,1124,11,19956.0,10924.0,414,414,183
360050162002,888,236,98000.0,52692.0,278,98,184
360050165001,1028,0,26989.0,4998.0,320,316,345
360050166002,701,131,76667.0,41235.0,264,80,176
360050169001,1658,14,45017.0,7392.0,541,476,440
360050173002,831,0,13631.0,9800.0,284,226,141
360050175001,2323,37,,,770,770,707
360050175004,1275,32,26512.0,17260.0,614,614,304
360050177011,2184,0,34295.0,22660.0,670,593,758
360050177021,1382,0,42222.0,18949.0,306,172,370
360050177024,1159,0,,,435,413,324
360050179013,1542,23,50481.0,21819.0,445,445,447
360050179023,1823,3,50819.0,27840.0,483,483,699
360050181012,935,10,,,325,306,235
360050184004,1005,764,102625.0,35193.0,276,141,309
