block_geoid,pop
360050001000001,0
360050001001001,1344
360050001000002,0
360050001001000,171
360050001001002,367
360050001001003,1890
360050002001000,310
360050002003004,45
360050002003007,108
360050002003010,62
360050002003014,60
360050002003017,24
360050002003020,19
360050002003023,18
360050002003026,30
360050002000001,0
360050002001001,274
360050002001002,306
360050002001003,276
360050002001004,164
360050002001005,0
360050002002000,195
360050002002001,220
360050002002002,242
360050002002003,221
360050002002004,166
360050002002005,63
360050002002006,784
360050002002007,112
360050002002008,54
360050002003000,156
360050002003001,147
360050002003002,57
360050002003003,34
360050002003005,125
360050002003006,32
360050002003008,31
360050002003009,20
360050002003011,103
360050002003012,99
360050002003013,16
360050002003015,27
360050002003016,3
360050002003018,11
360050002003019,23
360050002003021,47
360050002003022,43
360050002003024,18
360050002003025,34
360050004001001,279
360050004001004,29
360050004002002,587
360050004002005,172
360050004004003,0
360050004000001,0
360050004000002,0
360050004001000,564
360050004001002,43
360050004001003,132
360050004002000,36
360050004002001,0
360050004002003,251
360050004002004,137
360050004002006,250
360050004003000,457
360050004003001,184
360050004003002,192
360050004003003,169
360050004003004,54
360050004003005,1029
360050004003006,54
360050004003007,169
360050004003008,576
360050004003009,100
360050004003010,111
360050004004000,245
360050004004001,170
360050004004002,108
360050004004004,174
360050004004005,0
360050016002000,313
360050016002003,0
360050016003000,745
360050016004002,0
360050016004006,303
360050016004009,139
360050016001000,2455
360050016002001,329
360050016002002,61
360050016002004,276
360050016002005,31
360050016004000,0
360050016004001,214
360050016004003,0
360050016004004,0
360050016004005,63
360050016004007,386
360050016004008,316
360050016004010,164
360050019011001,0
360050019011004,0
360050019011008,0
360050019011011,278
360050019011014,652
360050019011003,0
360050019011000,0
360050019011002,0
360050019011005,88
360050019011006,27
360050019011007,26
360050019011009,0
360050019011010,506
360050019011012,715
360050019011013,0
360050019021016,0
360050019021019,269
360050019021023,0
360050019021026,0
360050019021029,0
360050019021032,0
360050019021036,237
360050019021039,38
360050019021042,19
360050019021000,0
360050019021001,0
360050019021002,0
360050019021003,0
360050019021004,0
360050019021005,0
360050019021006,0
360050019021007,0
360050019021008,0
360050019021009,0
360050019021010,0
360050019021011,0
360050019021012,0
360050019021013,2
360050019021014,0
360050019021015,214
360050019021017,259
360050019021018,96
360050019021020,0
360050019021021,0
360050019021022,56
360050019021024,0
360050019021025,0
360050019021027,0
360050019021028,0
360050019021030,0
360050019021031,0
360050019021033,296
360050019021034,0
360050019021035,0
360050019021037,38
360050019021038,0
360050019021040,0
360050019021041,0
360050019021043,30
360050019021044,0
360050019021045,0
360050019021046,0
360050019021047,0
360050019021048,0
360050019021049,0
360050019021050,0
360050019021051,59
360050019031004,0
360050019031008,0
360050019031011,0
360050019031014,0
360050019032002,0
360050019032005,0
360050019032008,0
360050019032011,0
360050019031000,0
360050019031001,0
360050019031002,0
360050019031003,0
360050019031005,0
360050019031006,0
360050019031007,0
360050019031009,0
360050019031010,0
360050019031012,0
360050019031013,0
360050019031015,0
360050019032000,0
360050019032001,0
360050019032003,0
360050019032004,0
360050019032006,0
360050019032007,0
360050019032009,0
360050019032010,0
360050019032012,2
360050019032013,0
360050019032014,0
360050019040001,0
360050019041000,0
360050019040002,0
360050019040003,0
360050019042000,0
360050020011001,0
360050020013000,724
360050020011000,373
360050020011002,1949
360050020011003,0
360050020012000,1961
360050020021000,117
360050020021001,422
360050020021002,442
360050020021003,416
360050020021004,68
360050020022000,355
360050020022001,224
360050020022002,337
360050020022003,1095
360050020023000,336
360050020023001,403
360050020023002,369
360050023003000,1600
360050023001000,1284
360050023001001,1406
360050023001002,0
360050023002000,452
360050024001001,0
360050024001004,0
360050024001008,0
360050024001003,0
360050024000001,0
360050024001000,0
360050024001002,0
360050024001005,0
360050024001006,0
360050024001007,6
360050024001009,0
360050025001001,188
360050025004000,964
360050025005002,401
360050025001000,883
360050025002000,1462
360050025003000,1064
360050025005000,356
360050025005001,124
360050027012000,736
360050027011000,42
360050027011001,1006
360050027011002,133
360050027012001,1163
360050027021001,1011
360050027022000,0
360050027023001,817
360050027021000,0
360050027021002,442
360050027021003,0
360050027022001,405
360050027022002,558
360050027023000,872
360050027024000,890
360050028001016,460
360050028003000,1124
360050028001000,0
360050028001001,0
360050028001002,0
360050028001003,129
360050028001004,15
360050028001005,398
360050028001006,0
360050028001007,0
360050028001008,0
360050028001009,0
360050028001010,0
360050028001011,0
360050028001012,31
360050028001013,0
360050028001014,0
360050028001015,400
360050028001017,0
360050028002000,1894
360050028004000,1402
360050031001002,0
360050031001007,0
360050031001008,0
360050031001000,798
360050031001001,1070
360050031001003,553
360050031001004,417
360050031001005,53
360050031001006,73
360050031001009,0
360050033001000,59
360050033001001,0
360050033001005,209
360050033003001,651
360050033001003,140
360050033001004,300
360050033001006,0
360050033002000,272
360050033002001,1053
360050033003000,151
360050033003002,313
360050033003003,409
360050033001002,132
360050035002000,1502
360050035001001,504
360050035001000,0
360050035001002,21
360050035001003,147
360050035001004,39
360050035001005,62
360050035001006,0
360050035001007,0
360050035001008,138
360050035003000,417
360050035003001,505
360050035003002,391
360050037001000,340
360050038001000,498
360050038001002,616
360050038001004,0
360050038001001,569
360050038001003,0
360050039002000,580
360050039003002,556
360050039001000,581
360050039001001,672
360050039002001,1035
360050039003000,304
360050039003001,133
360050039004000,1034
360050039005000,512
360050039005001,938
360050040011003,506
360050040011000,394
360050040011001,88
360050040011002,222
360050040011004,295
360050040011005,234
360050041001002,375
360050041002001,825
360050041001000,798
360050041001001,505
360050041002000,549
360050041003000,1
360050041003001,122
360050041004000,671
360050041004001,1954
360050041002002,346
360050042003004,0
360050042003007,0
360050042003010,0
360050042005000,0
360050042001000,725
360050042001002,28
360050042003000,0
360050042001001,0
360050042002000,2272
360050042002001,0
360050042003001,0
360050042003002,0
360050042003003,0
360050042003005,0
360050042003006,0
360050042003008,1237
360050042003009,277
360050042004000,746
360050042004001,0
360050042005001,514
360050042005002,0
360050042005003,0
360050042005004,426
360050042006000,0
360050042006001,0
360050042006002,0
360050042006003,0
360050042006004,0
